adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/eJEnsni5p2aS5toQJK7w6iOfnsI.jpg,[18],765056,ko,아이돌 연습생: 내 여동생의 친구들,"Jae-hoon came to Eun-ju's younger brother, who was an idol trainee after serving in the military for several days. The house has the same younger trainee friends Hyeon-joo and Yeon-ju who liked the handsome Jae-hoon. As the war between two women to win Jae-hoon begins, Jae-hoon is embarrassed and makes an unconventional offer to Hyeon-joo and Yeon-ju...",15.855,/qhPS9o8wkmVIC0NVp9uLW8K2VT4.jpg,2020-11-12,My Sister's Idol Trainee Friends,False,3.0,2
False,/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,"[10749, 18]",696374,en,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",15.808,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,2020-05-29,Gabriel's Inferno,False,8.416,2408
False,/A5ZxQh3LfG8v4UyI2v9VZidWdku.jpg,[18],741689,ko,모두 그곳에 있다,"Soo Yeon decides to commit suicide to end the bullying she goes through at school, when a savior appears. A woman punishes the bullies on behalf of Soo Yeon and saves her from the reality of hell.",15.782,/vdUCeKeUp8ERCNbwSUzKx4UZR7x.jpg,2020-01-15,Everyone is There,False,7.956,34
False,/pgpOc0sGOiZ59omUh6xLMpbghiz.jpg,"[18, 10402]",531033,en,I Am Woman,"In 1966, Helen Reddy landed in New York with her three year old daughter, a suitcase, and $230 in her pocket. Within weeks, she was broke. Within months, she was in love. Within five years, she was one of the biggest superstars of her time and an icon of the 1970s feminist movement who wrote a song which galvanized a generation of women to fight for change.",15.772,/gpAkNeMzrSTJX2YIYcuwfqBrEqS.jpg,2020-08-28,I Am Woman,False,6.5,33
False,/ys0erQoixe1sCjCyQmtxlZ16mI7.jpg,"[18, 53, 9648]",651070,en,A Fall from Grace,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",15.753,/h47JJZ015VF4neia33AFwTU37Yb.jpg,2020-01-17,A Fall from Grace,False,7.019,914
False,/DpPoSYKlfcHUdOLQNdaUiF7liS.jpg,"[10749, 18]",568467,en,Ammonite,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",15.535,/5lx4pUHWZoOKJWsVsvurRRNW9FK.jpg,2020-11-13,Ammonite,False,6.991,560
False,/wO8vg2bB4rR7lGtIlZ7mJlcfwJ7.jpg,"[10749, 18]",540023,en,Wander Darkly,New parents Adrienne and Matteo are forced to reckon with trauma amidst their troubled relationship. They must revisit the memories of their past and unravel haunting truths in order to face their uncertain future.,15.47,/xMkS2EImCdeNMQaJxntGyjNNkhh.jpg,2020-12-11,Wander Darkly,False,6.2,64
False,/izNpxVcjKbF9BiYF4GVqxCOfewL.jpg,[18],641662,en,Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",15.282,/OgUfLlhfBFx5BPK6LzBWFvBW1w.jpg,2020-12-30,Pieces of a Woman,False,7.032,1190
False,/tUEBmT7KqteCrK15kYRgvrE34jf.jpg,"[18, 36]",556984,en,The Trial of the Chicago 7,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,15.157,/ahf5cVdooMAlDRiJOZQNuLqa1Is.jpg,2020-09-25,The Trial of the Chicago 7,False,7.702,2989
False,/h00iFXMpGuls2GEnXIGFzQUeaFr.jpg,"[18, 27, 53]",726208,es,Voces,"After a tragic turn of events at the new home he's fixing up, Daniel hears a ghostly plea for help, spurring him to seek out a famous paranormal expert.",14.722,/lXvBgevABC9n5R6Gg76R3pN1h2M.jpg,2020-07-24,Don't Listen,False,6.5,734
False,/sSalNFInZxGi0bmmIKJoDz5jI6n.jpg,"[10749, 18]",710356,en,2 Hearts,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",14.718,/a7bW3uKOMPBnmHs8gnlpfhTD8YQ.jpg,2020-10-16,2 Hearts,False,7.369,572
