adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/9MV9h7bC0gmdb7GVFQAkjhu4blu.jpg,"[14, 18, 27]",1069178,en,A House in Jerusalem,"Mourning her mother’s death and struggling to adjust to her new life in Israel, a young girl bonds with the lonely spirit of a Palestinian child.",8.682,/fp49EYaYzFWO779v154gaMRon0q.jpg,2023-07-13,A House in Jerusalem,False,6.7,3
False,/v4A4YA1LgRtPTi79EoXTtxQ4ZEK.jpg,"[27, 9648]",1014629,en,The Fearway,A young couple travelling down the freeway seem to be unable to get off the road after being hunted by someone intent on keeping them on the road.,8.671,/g0EOgZCk23b3n4uWGIVh9bh5U3q.jpg,2023-02-07,The Fearway,False,4.7,26
False,/iyTucCTzxlK7lKmeL8gkqo4qPCp.jpg,[27],974927,es,Los olvidados: Cicatrices,"An Anglo-American indie rock band winds up stranded in Epecuén, where their internal conflicts and the bad luck of their tour quickly lose importance before the hell that awaits them.",8.6,/daJBHIk3OXvB2ubX8fR9vz9XLkF.jpg,2023-04-27,What the Waters Left Behind: Scars,False,6.144,45
False,/uytxil0xW5wj1mOa9Abw4TlxOsM.jpg,"[14, 10751, 27]",1155458,es,El extraño caso del fantasma claustrofóbico,Follows a teenager who claims that there is an entity in his closet.,8.565,/17GmWeqNxCxr2tCWewBWb6Xx3me.jpg,2023-07-21,The Strange Case of a Claustrophobic Ghost,False,7.378,45
False,/u5sRhOL7AyB68AQ0tpBkYpEkAIU.jpg,"[27, 53]",1019961,en,"Mother, May I?","Emmett enters into a nightmarish game of therapy with his wife Anya, who has inexplicably taken on the persona of his estranged and recently-deceased mother.",8.54,/iBYEX7IxR9wocuhgzco7D3SG90F.jpg,2023-07-21,"Mother, May I?",False,5.172,29
False,/kDzDaJS9f8UcFfsKx6rjDkUk9EC.jpg,[27],1083858,en,The Angry Black Girl and Her Monster,"Vicaria is a brilliant teenager who believes death is a disease that can be cured. After the brutal and sudden murder of her brother, she embarks on a dangerous journey to bring him back to life.",8.475,/4c3rU9R5oYexKFWaAHAc195B0RN.jpg,2023-06-09,The Angry Black Girl and Her Monster,False,6.324,51
False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,"[878, 27]",933260,en,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",1131.94,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,2024-09-07,The Substance,False,7.3,197
False,/A1dZ6faTjg0e6HYftBmEKujuXGQ.jpg,"[35, 14, 27]",917496,en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",861.066,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,2024-09-04,Beetlejuice Beetlejuice,False,7.146,769
False,/qN7xSoT1iQiaR2i2EpPQedbBFvo.jpg,"[27, 53]",1114513,en,Speak No Evil,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",824.074,/dA4N6uWOnEMgbxXwFX7qX7adzs8.jpg,2024-09-11,Speak No Evil,False,7.127,311
False,/pysPTtYmTcQBlShcxXZwfs3Zp8H.jpg,"[878, 53, 27]",1064028,en,Subservience,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",477.546,/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg,2024-08-15,Subservience,False,6.592,147
False,/2RVcJbWFmICRDsVxRI8F5xRmRsK.jpg,"[27, 878, 53]",762441,en,A Quiet Place: Day One,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",447.59,/hU42CRk14JuPEdqZG3AWmagiPAP.jpg,2024-06-26,A Quiet Place: Day One,False,6.798,1861
False,/sjC29cgm4qZAnpOJQbYKCxDCcra.jpg,"[27, 878, 53]",1062215,en,Afraid,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,445.293,/gUREuXCnJLVHsvKXDH9fgIcfM6e.jpg,2024-08-28,Afraid,False,6.399,159
False,/bizhlTVjifYQUu4Xrdt7m3TYr7d.jpg,"[80, 27, 53]",1226578,en,Longlegs,"FBI Agent Lee Harker is assigned to an unsolved serial killer case that takes an unexpected turn, revealing evidence of the occult. Harker discovers a personal connection to the killer and must stop him before he strikes again.",295.61,/5aj8vVGFwGVbQQs26ywhg4Zxk2L.jpg,2024-05-31,Longlegs,False,6.677,963
False,/ndZ0rmPqY8AtXLdvF14hjBhkuDj.jpg,"[27, 9648, 878]",869291,en,Cuckoo,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",286.608,/iCh0YvdHVh5PakiZhaUqiwsbQeC.jpg,2024-08-02,Cuckoo,False,5.7,118
False,/kXPCUNo7ALN0S03AbmTY9Ln6Fbc.jpg,"[27, 878, 53]",1201734,en,God of Pain,A man wakes up in the middle of the street with no idea where he is or how he ended up there. Soon he is forced to confront the demons he is battling within before a gateway to the underworld unlocks the secret of Algea the God of Pain.,261.331,/dF0FAFCfILaor5RBqdNHq24OaIn.jpg,2024-08-20,God of Pain,False,8.0,6
False,/gLGqQ8pNsGaY2jedcDoMegl1g2N.jpg,"[878, 27, 18]",1196980,en,The Lonely Man with the Ghost Machine,"After a global catastrophe, the last man on Earth finds himself questioning his purpose and sanity as both his deceased wife and a mysterious stranger confront him with his past, his present, and whatever future might remain in the wastes of a dead world.",256.132,/jnMUUabFHqu3u89JepritJKfrQr.jpg,2024-03-23,The Lonely Man with the Ghost Machine,False,4.2,5
False,/8vqmXMXsDVSkw6w3asP4Ie8JlSl.jpg,[27],1091267,en,The Well,A young restorer travels to a small village to restore a medieval painting to its former glory. She will put her life in danger due to a curse attached to the painting.,222.733,/zK1X5T7gAdXxLFhj0hYyCTVrvpU.jpg,2024-08-01,The Well,False,5.8,51
False,/p5kpFS0P3lIwzwzHBOULQovNWyj.jpg,"[53, 80, 27]",1032823,en,Trap,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",209.015,/jwoaKYVqPgYemFpaANL941EF94R.jpg,2024-07-31,Trap,False,6.517,1241
False,/qkEnklEGDFy4TRVhuHFn2DI2BP6.jpg,"[27, 53]",930600,en,The Deliverance,"Ebony Jackson, a struggling single mother fighting her personal demons, moves her family into a new home for a fresh start. But when strange occurrences inside the home raise the suspicions of Child Protective Services and threaten to tear the family apart, Ebony soon finds herself locked in a battle for her life and the souls of her children.",196.354,/og1FteMFRInoQnlZeWqEn8XpXHh.jpg,2024-08-16,The Deliverance,False,6.2,334
False,/orTQxcx2aoNpx1DIKTjBzpzvzd0.jpg,"[27, 14]",1130053,en,Cinderella's Curse,"Desperate Cinderella summons her fairy godmother from an ancient flesh-bound book, seeking revenge on her evil stepmother and stepsisters who abuse and torment her daily.",189.502,/xegGyjYdCcF9X1FWpfw1O1LcFnZ.jpg,2024-05-31,Cinderella's Curse,False,5.0,23
False,/4yrOyO3N55XazHQXXYoqiiPQd40.jpg,[27],938614,en,Late Night with the Devil,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",187.382,/mu8LRWT9GHkfiyHm7kgxT6YNvMW.jpg,2024-03-19,Late Night with the Devil,False,7.309,897
False,/8fNBsXpgMvqk75SPsZzTmIqSRxY.jpg,"[27, 53]",646683,en,The Exorcism,"A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.",184.497,/ar2h87jlTfMlrDZefR3VFz1SfgH.jpg,2024-05-30,The Exorcism,False,5.024,208
False,/1LSMstNHwJnJD7tpnb8gZcgGNQR.jpg,"[27, 53]",1164355,id,Lembayung,"Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.",170.662,/5x9LrW0yvtt6S3XovIQHgXfYvLL.jpg,2024-09-19,Lembayung,False,6.5,3
False,/if3neGJlNfY5inFQFeh4Uo6wY1X.jpg,[27],1307178,en,The Bench,"A breakdown. A kind invitation. A cabin with a bloody past. Alex and her newfound friends face a nightmarish reality as they are picked off one by one, drawn to the sinister bench below. Inspired by low-budget horror films of the 1970s.",169.884,/58wIbZEXF0nKpdpsR4I7dokhYGG.jpg,2024-06-21,The Bench,False,0.0,0
False,/bGwBlxl9Ht2zljBHfNQD0YCEtrk.jpg,"[27, 53]",807339,en,Apartment 7A,"A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",164.865,/oyjEPno8omeDYVNqUZS2RiEpuRC.jpg,2024-09-20,Apartment 7A,False,5.875,60
False,/61yrVrkOH75fUtExDZ4Hi0KqOmc.jpg,"[27, 53, 35]",1225377,en,The Mouse Trap,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.",160.134,/3ovFaFeojLFIl5ClqhtgYMDS8sE.jpg,2024-08-23,The Mouse Trap,False,4.75,32
False,/716FGefV5R7drdoCOjJtzbPyyY8.jpg,[27],1207898,en,The Jack in the Box: Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",147.117,/oDVjlCTSyF6Fh8Fpm683MyGGnSG.jpg,2024-01-18,The Jack in the Box: Rises,False,6.9,107
False,/2XCmJWRZIQtHzikNsW29l9oy5Fb.jpg,"[53, 27]",804616,en,Something in the Water,"After lesbian couple Meg and Kayla split following a traumatic homophobic incident, their three friends are intent on mending the rift during the wedding of Lizzie at a paradise resort. But a pre-wedding boat excursion turns to disaster and the wedding breakfast is likely to be the five girls!",139.462,/1iWGGxHEwswZGvPSoMZlLFf0PNq.jpg,2024-03-22,Something in the Water,False,6.032,155
False,/xlkclSE4aq7r3JsFIJRgs21zUew.jpg,"[27, 53]",1034541,en,Terrifier 3,"After surviving Art the Clown's Halloween massacre, Sienna and her brother are struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",136.818,/fD4ZNG3r6qWH4DBXw2CHonm2yHK.jpg,2024-10-09,Terrifier 3,False,0.0,0
