adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/x4UkhIQuHIJyeeOTdcbZ3t3gBSa.jpg,"[28, 12]",718444,en,Rogue,"Battle-hardened O’Hara leads a lively mercenary team of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O’Hara’s squad must face a bloody, brutal encounter with a gang of rebels.",16.516,/uOw5JD8IlD546feZ6oxbIjvN66P.jpg,2020-08-20,Rogue,False,5.6,678
False,/hdXQxlD4mep7qtC5TsvhIt840OV.jpg,"[16, 28, 12, 878]",703771,en,Deathstroke: Knights & Dragons - The Movie,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,16.346,/vFIHbiy55smzi50RmF8LQjmpGcx.jpg,2020-08-04,Deathstroke: Knights & Dragons - The Movie,False,6.96,435
False,/7XZsVVnqTsMJXg3J4CHzeV2Lro9.jpg,"[28, 35, 18]",663870,da,Retfærdighedens ryttere,"Markus returns home to care for his daughter when his wife dies in a tragic train accident. However, when a survivor of the wreck surfaces and claims foul play, Markus suspects his wife was murdered and embarks on a mission to find those responsible.",16.211,/sshNnwmQLk720iBQ0dZg3GVGKfK.jpg,2020-11-19,Riders of Justice,False,7.27,820
False,/ySHlkHDbXztjdjRJ0pZN7FXRnaW.jpg,"[16, 12, 28, 14]",631132,ja,ゴブリンスレイヤー -GOBLIN'S CROWN-,"Goblin Slayer and his party head up to the snowy mountains in the north after receiving that request from the Sword Maiden to find any information on the Noble Fencer that disappeared after leaving to slay some goblins. A small village gets attacked, they encounter a mysterious chapel, and something about how these goblins are acting bothers the Goblin slayer.  In order to save the captured Noble Fencer, the Goblin Slayer and his party head to an ancient fortress covered in snow to face off with a powerful foe and a horde of goblins!",16.077,/A7SH888eBwbJDU3m48Vk2FK6ahW.jpg,2020-02-01,Goblin Slayer -Goblin's Crown-,False,7.416,261
False,/zlqMASc3vEtdym2OvXgE7fC6onT.jpg,"[28, 878, 12]",338762,en,Bloodshot,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",15.915,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg,2020-03-05,Bloodshot,False,6.7,4909
False,/m0ObOaJBerZ3Unc74l471ar8Iiy.jpg,"[28, 14]",547016,en,The Old Guard,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,15.8,/cjr4NWURcVN3gW5FlHeabgBHLrY.jpg,2020-07-10,The Old Guard,False,7.145,4098
False,/3ombg55JQiIpoPnXYb2oYdr6DtP.jpg,"[878, 28, 53]",560144,en,Skylines,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",15.675,/2W4ZvACURDyhiNnSIaFPHfNbny3.jpg,2020-10-25,Skylines,False,5.6,541
False,/kU7ZiyeUwcpTkYj3UcxSqGdZmxY.jpg,"[16, 28]",618353,en,Batman: Death in the Family,Tragedy strikes the Batman's life again when Robin Jason Todd tracks down his birth mother only to run afoul of the Joker. An adaptation of the 1988 comic book storyline of the same name.,15.55,/k8Q9ulyRE8fkvZMkAM9LPYMKctb.jpg,2020-10-13,Batman: Death in the Family,False,7.075,411
False,/ivEOcnP78Xbp8jwd7O5jazfeKwK.jpg,"[28, 53]",466622,en,The Rhythm Section,"When she discovers the plane crash that claimed the lives of her family was no accident, Stephanie Patrick enters the dark, complex world of international espionage seeking vengeance. With nothing left to lose, Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear.",15.095,/spTr0VYyRtl36Lkk6nCnnbFXhus.jpg,2020-01-31,The Rhythm Section,False,5.52,585
False,/kmbpYvhUsEdJFBqcDy7ESoXmknX.jpg,"[53, 28, 80]",603119,en,The Silencing,A reformed hunter becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,15.042,/dnN1ncxEOO1TY0gYL2FWxJqlhlL.jpg,2020-07-18,The Silencing,False,6.467,668
